sequence_length, n_layer, n_head, n_embd, epochs, learning_rate
2,1,1,16,1,0.0006
2,1,1,16,10,0.0006
2,1,1,16,100,0.0006
2,1,1,16,1000,0.0006
2,1,1,16,10000,0.0006
2,1,1,64,11,0.0006
2,1,1,64,10,0.0006
2,1,1,64,100,0.0006
2,1,1,64,1000,0.0006
2,1,1,64,10000,0.0006
2,1,1,256,1,0.0006
2,1,1,256,10,0.0006
2,1,1,256,100,0.0006
2,1,1,256,1000,0.0006
2,1,1,256,10000,0.0006
2,1,1,768,1,0.0006
2,1,1,768,10,0.0006
2,1,1,768,100,0.0006
2,1,1,768,1000,0.0006
2,1,1,768,10000,0.0006
2,1,2,16,1,0.0006
2,1,2,16,10,0.0006
2,1,2,16,100,0.0006
2,1,2,16,1000,0.0006
2,1,2,16,10000,0.0006
2,1,2,64,1,0.0006
2,1,2,64,10,0.0006
2,1,2,64,100,0.0006
2,1,2,64,1000,0.0006
2,1,2,64,10000,0.0006
2,1,2,256,1,0.0006
2,1,2,256,10,0.0006
2,1,2,256,100,0.0006
2,1,2,256,1000,0.0006
2,1,2,256,10000,0.0006
2,1,2,768,1,0.0006
2,1,2,768,10,0.0006
2,1,2,768,100,0.0006
2,1,2,768,1000,0.0006
2,1,2,768,10000,0.0006
2,1,4,16,1,0.0006
2,1,4,16,10,0.0006
2,1,4,16,100,0.0006
2,1,4,16,1000,0.0006
2,1,4,16,10000,0.0006
2,1,4,64,1,0.0006
2,1,4,64,10,0.0006
2,1,4,64,100,0.0006
2,1,4,64,1000,0.0006
2,1,4,64,10000,0.0006
2,1,4,256,1,0.0006
2,1,4,256,10,0.0006
2,1,4,256,100,0.0006
2,1,4,256,1000,0.0006
2,1,4,256,10000,0.0006
2,1,4,768,1,0.0006
2,1,4,768,10,0.0006
2,1,4,768,100,0.0006
2,1,4,768,1000,0.0006
2,1,4,768,10000,0.0006
2,1,8,16,1,0.0006
2,1,8,16,10,0.0006
2,1,8,16,100,0.0006
2,1,8,16,1000,0.0006
2,1,8,16,10000,0.0006
2,1,8,64,1,0.0006
2,1,8,64,10,0.0006
2,1,8,64,100,0.0006
2,1,8,64,1000,0.0006
2,1,8,64,10000,0.0006
2,1,8,256,1,0.0006
2,1,8,256,10,0.0006
2,1,8,256,100,0.0006
2,1,8,256,1000,0.0006
2,1,8,256,10000,0.0006
2,1,8,768,1,0.0006
2,1,8,768,10,0.0006
2,1,8,768,100,0.0006
2,1,8,768,1000,0.0006
2,1,8,768,10000,0.0006
2,2,1,16,1,0.0006
2,2,1,16,10,0.0006
2,2,1,16,100,0.0006
2,2,1,16,1000,0.0006
2,2,1,16,10000,0.0006
2,2,1,64,1,0.0006
2,2,1,64,10,0.0006
2,2,1,64,100,0.0006
2,2,1,64,1000,0.0006
2,2,1,64,10000,0.0006
2,2,1,256,1,0.0006
2,2,1,256,10,0.0006
2,2,1,256,100,0.0006
2,2,1,256,1000,0.0006
2,2,1,256,10000,0.0006
2,2,1,768,1,0.0006
2,2,1,768,10,0.0006
2,2,1,768,100,0.0006
2,2,1,768,1000,0.0006
2,2,1,768,10000,0.0006
2,2,2,16,1,0.0006
2,2,2,16,10,0.0006
2,2,2,16,100,0.0006
2,2,2,16,1000,0.0006
2,2,2,16,10000,0.0006
2,2,2,64,1,0.0006
2,2,2,64,10,0.0006
2,2,2,64,100,0.0006
2,2,2,64,1000,0.0006
2,2,2,64,10000,0.0006
2,2,2,256,1,0.0006
2,2,2,256,10,0.0006
2,2,2,256,100,0.0006
2,2,2,256,1000,0.0006
2,2,2,256,10000,0.0006
2,2,2,768,1,0.0006
2,2,2,768,10,0.0006
2,2,2,768,100,0.0006
2,2,2,768,1000,0.0006
2,2,2,768,10000,0.0006
2,2,4,16,1,0.0006
2,2,4,16,10,0.0006
2,2,4,16,100,0.0006
2,2,4,16,1000,0.0006
2,2,4,16,10000,0.0006
2,2,4,64,1,0.0006
2,2,4,64,10,0.0006
2,2,4,64,100,0.0006
2,2,4,64,1000,0.0006
2,2,4,64,10000,0.0006
2,2,4,256,1,0.0006
2,2,4,256,10,0.0006
2,2,4,256,100,0.0006
2,2,4,256,1000,0.0006
2,2,4,256,10000,0.0006
2,2,4,768,1,0.0006
2,2,4,768,10,0.0006
2,2,4,768,100,0.0006
2,2,4,768,1000,0.0006
2,2,4,768,10000,0.0006
2,2,8,16,1,0.0006
2,2,8,16,10,0.0006
2,2,8,16,100,0.0006
2,2,8,16,1000,0.0006
2,2,8,16,10000,0.0006
2,2,8,64,1,0.0006
2,2,8,64,10,0.0006
2,2,8,64,100,0.0006
2,2,8,64,1000,0.0006
2,2,8,64,10000,0.0006
2,2,8,256,1,0.0006
2,2,8,256,10,0.0006
2,2,8,256,100,0.0006
2,2,8,256,1000,0.0006
2,2,8,256,10000,0.0006
2,2,8,768,1,0.0006
2,2,8,768,10,0.0006
2,2,8,768,100,0.0006
2,2,8,768,1000,0.0006
2,2,8,768,10000,0.0006
2,4,1,16,1,0.0006
2,4,1,16,10,0.0006
2,4,1,16,100,0.0006
2,4,1,16,1000,0.0006
2,4,1,16,10000,0.0006
2,4,1,64,1,0.0006
2,4,1,64,10,0.0006
2,4,1,64,100,0.0006
2,4,1,64,1000,0.0006
2,4,1,64,10000,0.0006
2,4,1,256,1,0.0006
2,4,1,256,10,0.0006
2,4,1,256,100,0.0006
2,4,1,256,1000,0.0006
2,4,1,256,10000,0.0006
2,4,1,768,1,0.0006
2,4,1,768,10,0.0006
2,4,1,768,100,0.0006
2,4,1,768,1000,0.0006
2,4,1,768,10000,0.0006
2,4,2,16,1,0.0006
2,4,2,16,10,0.0006
2,4,2,16,100,0.0006
2,4,2,16,1000,0.0006
2,4,2,16,10000,0.0006
2,4,2,64,1,0.0006
2,4,2,64,10,0.0006
2,4,2,64,100,0.0006
2,4,2,64,1000,0.0006
2,4,2,64,10000,0.0006
2,4,2,256,1,0.0006
2,4,2,256,10,0.0006
2,4,2,256,100,0.0006
2,4,2,256,1000,0.0006
2,4,2,256,10000,0.0006
2,4,2,768,1,0.0006
2,4,2,768,10,0.0006
2,4,2,768,100,0.0006
2,4,2,768,1000,0.0006
2,4,2,768,10000,0.0006
2,4,4,16,1,0.0006
2,4,4,16,10,0.0006
2,4,4,16,100,0.0006
2,4,4,16,1000,0.0006
2,4,4,16,10000,0.0006
2,4,4,64,1,0.0006
2,4,4,64,10,0.0006
2,4,4,64,100,0.0006
2,4,4,64,1000,0.0006
2,4,4,64,10000,0.0006
2,4,4,256,1,0.0006
2,4,4,256,10,0.0006
2,4,4,256,100,0.0006
2,4,4,256,1000,0.0006
2,4,4,256,10000,0.0006
2,4,4,768,1,0.0006
2,4,4,768,10,0.0006
2,4,4,768,100,0.0006
2,4,4,768,1000,0.0006
2,4,4,768,10000,0.0006
2,4,8,16,1,0.0006
2,4,8,16,10,0.0006
2,4,8,16,100,0.0006
2,4,8,16,1000,0.0006
2,4,8,16,10000,0.0006
2,4,8,64,1,0.0006
2,4,8,64,10,0.0006
2,4,8,64,100,0.0006
2,4,8,64,1000,0.0006
2,4,8,64,10000,0.0006
2,4,8,256,1,0.0006
2,4,8,256,10,0.0006
2,4,8,256,100,0.0006
2,4,8,256,1000,0.0006
2,4,8,256,10000,0.0006
2,4,8,768,1,0.0006
2,4,8,768,10,0.0006
2,4,8,768,100,0.0006
2,4,8,768,1000,0.0006
2,4,8,768,10000,0.0006
2,8,1,16,1,0.0006
2,8,1,16,10,0.0006
2,8,1,16,100,0.0006
2,8,1,16,1000,0.0006
2,8,1,16,10000,0.0006
2,8,1,64,1,0.0006
2,8,1,64,10,0.0006
2,8,1,64,100,0.0006
2,8,1,64,1000,0.0006
2,8,1,64,10000,0.0006
2,8,1,256,1,0.0006
2,8,1,256,10,0.0006
2,8,1,256,100,0.0006
2,8,1,256,1000,0.0006
2,8,1,256,10000,0.0006
2,8,1,768,1,0.0006
2,8,1,768,10,0.0006
2,8,1,768,100,0.0006
2,8,1,768,1000,0.0006
2,8,1,768,10000,0.0006
2,8,2,16,1,0.0006
2,8,2,16,10,0.0006
2,8,2,16,100,0.0006
2,8,2,16,1000,0.0006
2,8,2,16,10000,0.0006
2,8,2,64,1,0.0006
2,8,2,64,10,0.0006
2,8,2,64,100,0.0006
2,8,2,64,1000,0.0006
2,8,2,64,10000,0.0006
2,8,2,256,1,0.0006
2,8,2,256,10,0.0006
2,8,2,256,100,0.0006
2,8,2,256,1000,0.0006
2,8,2,256,10000,0.0006
2,8,2,768,1,0.0006
2,8,2,768,10,0.0006
2,8,2,768,100,0.0006
2,8,2,768,1000,0.0006
2,8,2,768,10000,0.0006
2,8,4,16,1,0.0006
2,8,4,16,10,0.0006
2,8,4,16,100,0.0006
2,8,4,16,1000,0.0006
2,8,4,16,10000,0.0006
2,8,4,64,1,0.0006
2,8,4,64,10,0.0006
2,8,4,64,100,0.0006
2,8,4,64,1000,0.0006
2,8,4,64,10000,0.0006
2,8,4,256,1,0.0006
2,8,4,256,10,0.0006
2,8,4,256,100,0.0006
2,8,4,256,1000,0.0006
2,8,4,256,10000,0.0006
2,8,4,768,1,0.0006
2,8,4,768,10,0.0006
2,8,4,768,100,0.0006
2,8,4,768,1000,0.0006
2,8,4,768,10000,0.0006
2,8,8,16,1,0.0006
2,8,8,16,10,0.0006
2,8,8,16,100,0.0006
2,8,8,16,1000,0.0006
2,8,8,16,10000,0.0006
2,8,8,64,1,0.0006
2,8,8,64,10,0.0006
2,8,8,64,100,0.0006
2,8,8,64,1000,0.0006
2,8,8,64,10000,0.0006
2,8,8,256,1,0.0006
2,8,8,256,10,0.0006
2,8,8,256,100,0.0006
2,8,8,256,1000,0.0006
2,8,8,256,10000,0.0006
2,8,8,768,1,0.0006
2,8,8,768,10,0.0006
2,8,8,768,100,0.0006
2,8,8,768,1000,0.0006
2,8,8,768,10000,0.0006
3,1,1,16,1,0.0006
3,1,1,16,10,0.0006
3,1,1,16,100,0.0006
3,1,1,16,1000,0.0006
3,1,1,16,10000,0.0006
3,1,1,64,1,0.0006
3,1,1,64,10,0.0006
3,1,1,64,100,0.0006
3,1,1,64,1000,0.0006
3,1,1,64,10000,0.0006
3,1,1,256,1,0.0006
3,1,1,256,10,0.0006
3,1,1,256,100,0.0006
3,1,1,256,1000,0.0006
3,1,1,256,10000,0.0006
3,1,1,768,1,0.0006
3,1,1,768,10,0.0006
3,1,1,768,100,0.0006
3,1,1,768,1000,0.0006
3,1,1,768,10000,0.0006
3,1,2,16,1,0.0006
3,1,2,16,10,0.0006
3,1,2,16,100,0.0006
3,1,2,16,1000,0.0006
3,1,2,16,10000,0.0006
3,1,2,64,1,0.0006
3,1,2,64,10,0.0006
3,1,2,64,100,0.0006
3,1,2,64,1000,0.0006
3,1,2,64,10000,0.0006
3,1,2,256,1,0.0006
3,1,2,256,10,0.0006
3,1,2,256,100,0.0006
3,1,2,256,1000,0.0006
3,1,2,256,10000,0.0006
3,1,2,768,1,0.0006
3,1,2,768,10,0.0006
3,1,2,768,100,0.0006
3,1,2,768,1000,0.0006
3,1,2,768,10000,0.0006
