step 0 | loss: 1.2247 | loss: 1.2098 | lr: 6.0000e-07 | norm: 2.7040 | dt: 6657.39 ms | tok/sec: 922.88
step 12300 | loss: 0.5885 | loss: 1.1441 | lr: 1.0806e-04 | norm: 1.5309 | dt: 5.06 ms | tok/sec: 1215327.47
step 12400 | loss: 0.5897 | loss: 1.1531 | lr: 1.0467e-04 | norm: 1.4753 | dt: 5.06 ms | tok/sec: 1213039.15
step 12500 | loss: 0.6014 | loss: 1.1713 | lr: 1.0138e-04 | norm: 1.6675 | dt: 5.69 ms | tok/sec: 1079861.04
step 12600 | loss: 0.6052 | loss: 1.1434 | lr: 9.8219e-05 | norm: 1.7271 | dt: 5.04 ms | tok/sec: 1219641.43
step 12700 | loss: 0.5855 | loss: 1.1632 | lr: 9.5170e-05 | norm: 1.5637 | dt: 5.05 ms | tok/sec: 1215671.47
step 12800 | loss: 0.5862 | loss: 1.1713 | lr: 9.2239e-05 | norm: 1.4677 | dt: 5.07 ms | tok/sec: 1212525.47
step 12900 | loss: 0.6014 | loss: 1.1411 | lr: 8.9428e-05 | norm: 1.7966 | dt: 5.03 ms | tok/sec: 1220276.72
step 13000 | loss: 0.6024 | loss: 1.2006 | lr: 8.6738e-05 | norm: 1.7551 | dt: 5.47 ms | tok/sec: 1123650.64
Validation loss did not improve at step 13000. No checkpoint saved.
step 13100 | loss: 0.5836 | loss: 1.1550 | lr: 8.4171e-05 | norm: 1.5973 | dt: 5.09 ms | tok/sec: 1206395.01
step 13200 | loss: 0.5838 | loss: 1.1689 | lr: 8.1728e-05 | norm: 1.4957 | dt: 5.06 ms | tok/sec: 1213839.09
step 13300 | loss: 0.6006 | loss: 1.1990 | lr: 7.9409e-05 | norm: 1.8691 | dt: 5.02 ms | tok/sec: 1224160.55
step 13400 | loss: 0.6009 | loss: 1.1689 | lr: 7.7217e-05 | norm: 1.8178 | dt: 15.75 ms | tok/sec: 390120.56
step 13500 | loss: 0.5823 | loss: 1.1744 | lr: 7.5152e-05 | norm: 1.6559 | dt: 8.40 ms | tok/sec: 731411.00
step 13600 | loss: 0.5821 | loss: 1.2007 | lr: 7.3215e-05 | norm: 1.5433 | dt: 8.77 ms | tok/sec: 700875.86
step 13700 | loss: 0.5999 | loss: 1.1867 | lr: 7.1407e-05 | norm: 1.9402 | dt: 5.05 ms | tok/sec: 1216073.04
step 13800 | loss: 0.6001 | loss: 1.1863 | lr: 6.9730e-05 | norm: 1.8902 | dt: 5.06 ms | tok/sec: 1213953.45
step 13900 | loss: 0.5811 | loss: 1.1889 | lr: 6.8184e-05 | norm: 1.7031 | dt: 5.41 ms | tok/sec: 1135984.30
step 14000 | loss: 0.5811 | loss: 1.1923 | lr: 6.6769e-05 | norm: 1.5922 | dt: 5.11 ms | tok/sec: 1201445.46
Validation loss did not improve at step 14000. No checkpoint saved.
step 14100 | loss: 0.5991 | loss: 1.2125 | lr: 6.5488e-05 | norm: 1.9985 | dt: 5.02 ms | tok/sec: 1223927.99
step 14200 | loss: 0.5993 | loss: 1.1816 | lr: 6.4339e-05 | norm: 1.9544 | dt: 5.12 ms | tok/sec: 1199264.88
step 14300 | loss: 0.5804 | loss: 1.2011 | lr: 6.3324e-05 | norm: 1.7588 | dt: 5.74 ms | tok/sec: 1070574.71
step 14400 | loss: 0.5802 | loss: 1.2060 | lr: 6.2444e-05 | norm: 1.6474 | dt: 5.03 ms | tok/sec: 1220797.00
step 14500 | loss: 0.5985 | loss: 1.1762 | lr: 6.1698e-05 | norm: 2.0570 | dt: 5.17 ms | tok/sec: 1188479.63
step 14600 | loss: 0.5987 | loss: 1.2359 | lr: 6.1087e-05 | norm: 2.0059 | dt: 5.03 ms | tok/sec: 1220507.90
step 14700 | loss: 0.5800 | loss: 1.1853 | lr: 6.0612e-05 | norm: 1.8129 | dt: 5.06 ms | tok/sec: 1214125.03
step 14800 | loss: 0.5793 | loss: 1.2006 | lr: 6.0272e-05 | norm: 1.6910 | dt: 5.12 ms | tok/sec: 1200829.63
step 14900 | loss: 0.5982 | loss: 1.2329 | lr: 6.0068e-05 | norm: 2.1195 | dt: 5.06 ms | tok/sec: 1214754.59
Metadata saved to model_metadata.txt
